"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","임산부정원수","영유아정원수","임산부실면적","영유아실면적","모유수유실면적","급식시설면적","세탁실면적","목욕실면적","조리원화장실면적","사무실면적","간호사수","간호조무사수","영양사수","취사부수","미화원수","기타인원수","건물층수","지상층수","지하층수",
"61","산후조리업","01_01_04_P","5680000","PHMB120155680060042100001","2015-02-09","","03","폐업","03","폐업","2022-02-15","","","","041-357-3853","","343-925","충청남도 당진시 읍내동 1059번지","충청남도 당진시  시청1로  72 (읍내동)","31772","맘앤캐슬 당진산후조리원","2022-02-15 13:03:17","U","2022-02-17 02:40:00","","167804.635276857","376696.429888265","16","16","251.22","27.57","10.95","21.89","9.15","6.3","32.4","8.09","4","3","0","1","1","5","0","0","0",
"62","산후조리업","01_01_04_P","4520000","PHMB120064520031042100001","2006-06-01","","03","폐업","03","폐업","2015-02-25","2014-10-24","2015-02-28","","","","336-861","충청남도 아산시 음봉면 덕지리 65번지","충청남도 아산시 음봉면 음봉로 663","336-861","주식회사 미소래산후조리원","2015-02-25 15:07:59","I","2018-08-31 23:59:59","","207267.891503949","370438.21203729","28","28","","","","","","","","","4","11","1","4","3","7","4","3","1",
"63","산후조리업","01_01_04_P","4520000","PHMB120084520031042100001","2008-01-14","","03","폐업","03","폐업","2010-03-25","","","","041-549-3582","","336-852","충청남도 아산시 배방면 공수리 149번지","","","배방미래산후조리원","2010-03-25 14:35:11","I","2018-08-31 23:59:59","","","","6","6","","","","","","","","","2","2","","","1","","","","",
"64","산후조리업","01_01_04_P","4530000","PHMB120104530030042100001","2010-09-30","","03","폐업","03","폐업","2019-12-27","2015-06-15","2019-12-27","","041-663-0055","","356-030","충청남도 서산시 석림동 607번지 11호","충청남도 서산시 중앙로 108 (석림동)","","미래&자모 산후조리원","2020-01-03 17:38:42","U","2020-01-05 02:40:00","","151819.553642549","364100.285123664","18","18","268.52","33.14","16","17.62","6.33","2.6","2.6","4.8","4","7","","1","1","","3","3","",
"65","산후조리업","01_01_04_P","4490000","PHMB120074490042042100001","2007-07-25","","03","폐업","03","폐업","2010-04-20","","","","570-1280","","483-754","경기도 동두천시 송내동 696번지 3호 주공아파트 501동 1003호","","","이화산후조리원","2010-03-19 17:30:22","I","2018-08-31 23:59:59","","204619.470452836","486821.166818052","7","7","202.3","22.15","0","0","0","38.07","14.8","71.4","2","2","0","0","1","0","0","0","0",
"66","산후조리업","01_01_04_P","4490000","PHMB120084490042042100001","2008-04-24","","03","폐업","03","폐업","2022-11-14","","","","523-6110","","331-962","충청남도 천안시서북구 두정동 1288번지","충청남도 천안시 서북구 두정로 202 (두정동)","","리즈앤마리안산후조리원","2022-11-14 15:25:04","U","2022-11-16 02:40:00","","212356.824246827","370229.920748707","23","23","394.1","39.12","12.25","101.44","15.79","0","127.63","12.87","6","8","0","4","3","1","7","0","0",
"67","산후조리업","01_01_04_P","4490000","PHMB120104490042042100001","2010-01-18","","03","폐업","03","폐업","2018-01-31","","","","570-3000","","331-092","충청남도 천안시 서북구 쌍용2동 395번지 9호","충청남도 천안시 서북구 충무로 158-13 (쌍용동)","","미즈나래 산후조리원","2018-02-08 14:09:55","I","2018-08-31 23:59:59","","211192.113390067","365734.492672786","16","16","15.61","31.89","10.73","0","0","0","0","0","4","6","0","0","0","0","9","7","2",
"68","산후조리업","01_01_04_P","4490000","PHMB120104490042042100002","2010-06-18","","03","폐업","03","폐업","2023-07-26","","","","570-1280","","331-946","충청남도 천안시 서북구 쌍용1동 494번지 2호 4층","충청남도 천안시 서북구 충무로 161 (쌍용동)","31174","이화산후조리원","2023-07-26 09:33:05","U","2023-07-28 02:40:00","","211095.254523223","365855.077200476","14","14","386.88","46.61","12.3","0","0","0","0","0","3","8","0","0","1","0","5","5","0",
"69","산후조리업","01_01_04_P","4490000","PHMB120104490042042100003","2010-08-17","","03","폐업","03","폐업","2016-06-23","","","","041-584-3535","","331-950","충청남도 천안시 서북구 쌍용1동 1196번지","충청남도 천안시 서북구 미라2길 18-7 (쌍용동)","","헤라산후조리원","2016-06-24 10:16:57","I","2018-08-31 23:59:59","","211540.659777347","366619.468599466","10","10","237.52","42.15","11.99","38.53","0","0","0","12.24","3","6","0","1","0","2","4","4","0",
"70","산후조리업","01_01_04_P","4490000","PHMB120164490261042100003","2016-10-06","","03","폐업","03","폐업","2020-07-31","","","","041-902-3355","","","","충청남도 천안시 서북구 성정공원1길 9-13 (성정동)","31109","노블리스산후조리원","2020-07-31 13:53:13","U","2020-08-02 02:40:00","","212223.121723013","369459.477872919","14","14","223","29","10.3","22","5.7","3","45.6","13.4","2","9","0","2","2","0","3","3","0",
"71","산후조리업","01_01_04_P","3910000","PHMB120133910168042100002","2013-10-02","","03","폐업","03","폐업","2015-05-29","","","","","","451-885","경기도 평택시 안중읍 안중리 307번지","경기도 평택시 안중읍 안현로 481","451-885","안중산후조리원","2015-06-08 19:55:56","I","2018-08-31 23:59:59","","193646.167502601","386983.239251096","5","5","92.4","16.82","","","","","","","3","1","","","","","","","",
"72","산후조리업","01_01_04_P","3910000","PHMB120163910168042100001","2016-07-15","","03","폐업","03","폐업","2021-12-31","","","","031-618-9792","","","","경기도 평택시 중앙로 106, 3층 (합정동)","17908","라마즈산후조리원","2022-01-12 17:36:08","U","2022-01-14 02:40:00","","208350.018875136","387959.451954913","7","7","121.4","15.69","11.17","0","0","0","0","0","2","3","0","0","0","1","5","4","1",
"73","산후조리업","01_01_04_P","3910000","PHMB120083910165042100001","2008-10-17","","03","폐업","03","폐업","2019-12-01","","","","","","459-825","경기도 평택시 이충동 589번지 1호","경기도 평택시 이충로 113 (이충동)","17734","아이맘산후조리원","2019-12-05 16:13:28","U","2019-12-07 02:40:00","","205646.855685221","395826.492678616","10","10","","33","","","","","","","2","5","","","","3","6","5","1",
"74","산후조리업","01_01_04_P","3910000","PHMB120063910168042100001","2006-12-11","","03","폐업","03","폐업","2017-11-12","","","","070-5012-3585","","450-818","경기도 평택시 세교동 439번지 3호","경기도 평택시 평택로 284 (세교동)","17825","평택성모산후조리원","2017-11-14 10:09:48","I","2018-08-31 23:59:59","","206528.12628095","389641.576158318","19","22","282.74","87.89","33.58","0","0","7.5","5.32","7.61","4","1","0","0","1","1","11","9","2",
"75","산후조리업","01_01_04_P","3910000","PHMB120063910168042100002","2006-12-07","","03","폐업","03","폐업","2014-04-30","","","","031-618-9792","","450-831","경기도 평택시 합정동 741번지 2호","경기도 평택시 중앙로 106 (합정동)","450-831","서울미즈산후조리원","2014-04-30 12:00:06","I","2018-08-31 23:59:59","","208350.018875136","387959.451954913","8","8","108","27.7","11.7","29.7","15.7","8.4","19.4","15.3","1","4","","1","1","1","5","5","1",
"76","산후조리업","01_01_04_P","4000000","PHMB120084000018042100001","2008-02-28","","03","폐업","03","폐업","2016-10-11","","","","031-372-1208","","447-805","경기도 오산시 원동 391번지 1호","경기도 오산시 경기대로 154 (원동)","","미소맘산후조리원","2016-10-11 14:06:12","I","2018-08-31 23:59:59","","206491.779909931","404082.012654852","13","15","254.95","16.14","9.84","5.04","","","46.6","62.44","2","5","","2","1","","","6","",
"77","산후조리업","01_01_04_P","4000000","PHMB120084000018042100002","2008-03-13","","03","폐업","03","폐업","2022-06-30","","","","031-373-3588","","447-060","경기도 오산시 원동 813번지 5호","경기도 오산시 대원로 57 (원동)","","하늘고래산후조리원","2022-06-30 14:00:43","U","2022-07-02 02:40:00","","206571.782666087","404977.921681236","20","20","480","39","19","19","14","0","67","4","3","8","0","1","1","0","0","6","0",
"78","산후조리업","01_01_04_P","4000000","PHMB120064000018042100001","2006-12-19","","03","폐업","03","폐업","2020-03-27","","","","031-378-5949","","447-060","경기도 오산시 원동 764번지 6호","경기도 오산시 대원로 34 (원동)","","우먼필산후조리원","2020-03-27 18:10:16","U","2020-03-29 02:40:00","","206346.92325555","404922.889862618","14","14","12.69","30.39","","23.5","","","2.25","13.3","2","3","","1","1","","9","5","",
"79","산후조리업","01_01_04_P","4170000","PHMB120094170019042100001","2009-02-25","","03","폐업","03","폐업","2018-10-30","","","","","","476-802","경기도 양평군 양평읍 양근리 199번지 1호","경기도 양평군 양평읍 시민로 12","","김란미즈산후조리원","2018-10-31 14:05:45","U","2018-11-02 02:35:42","","243568.504392724","443123.490920954","10","10","15","23","","41","10","2.4","2.4","6.5","4","1","","1","1","","0","","",
"80","산후조리업","01_01_04_P","3440000","PHMB120063440024042100001","2006-12-06","","03","폐업","03","폐업","2009-03-20","","","","","","705-829","대구광역시 남구 봉덕3동 983번지 16호","대구광역시 남구 봉덕로 16 (봉덕동)","","엄마손 산후조리원","2009-03-20 18:40:50","I","2018-08-31 23:59:59","","343768.954118612","261708.109893691","18","18","18","33","","","","","","","3","6","0","","","2","","","",
"81","산후조리업","01_01_04_P","3410000","PHMB120063410023042100001","2006-12-07","","03","폐업","03","폐업","2018-06-30","2018-03-06","2019-03-05","","0532551020","","700-082","대구광역시 중구 계산동2가 80번지 1호","대구광역시 중구 달구벌대로 2047 (계산동2가)","","미즈산후조리원","2018-07-26 18:12:16","I","2018-08-31 23:59:59","","343334.402238565","264123.00442528","10","10","180.7","23.5","8.5","25","8","2","10","10.8","3","1","1","1","","","7","6","",
"82","산후조리업","01_01_04_P","3460000","PHMB120063460023042100006","2006-12-21","","03","폐업","03","폐업","2019-10-21","","","","791-5552","","706-170","대구광역시 수성구 신매동 10번지 7호","대구광역시 수성구 달구벌대로 3294 (신매동)","42279","아델리아산후조리원","2019-10-31 16:07:03","U","2019-11-02 02:40:00","","354976.751149176","261000.098432516","18","18","288.1","37.1","8.26","49","7.6","","","","3","6","","2","1","","","","",
"83","산후조리업","01_01_04_P","3460000","PHMB120063460023042100001","2006-12-04","","03","폐업","03","폐업","","","","","053-766-3575","","706-070","대구광역시 수성구 파동 651번지 (2~3층)","대구광역시 수성구 용학로 2 (파동,(2~3층))","","아가랑한방산후조리원","2008-11-18 18:06:25","I","2018-08-31 23:59:59","","345467.890314413","259538.630063747","18","15","126","25.5","7","21","18","","","","3","4","","2","1","1","","","",
"84","산후조리업","01_01_04_P","3460000","PHMB120083460023042100001","2008-12-12","","03","폐업","03","폐업","2017-11-30","","","","212-7792","","706-050","대구광역시 수성구 중동 104번지 1호 (9~10층)","대구광역시 수성구 수성로 200 (중동,(9~10층))","","본느마망 효성산후조리원","2019-10-31 16:19:43","U","2019-11-02 02:40:00","","345646.912450355","261550.434497575","18","18","365.86","53.03","11.14","5.75","10.46","7.97","","","9","7","0","0","","","12","910","",
"85","산후조리업","01_01_04_P","3460000","PHMB120093460023042100001","2009-04-02","","03","폐업","03","폐업","2015-09-07","","","","745-6300","","706-011","대구광역시 수성구 범어1동 2번지 3호 (2,3층)","대구광역시  동대구로 397, 2-3층","42012","산후조리원 후","2015-11-20 16:23:54","I","2018-08-31 23:59:59","","346815.141617714","264077.18032954","14","14","195.5","34.4","16.7","","","","","","3","6","0","2","1","2","23","23","",
"86","산후조리업","01_01_04_P","3460000","PHMB120143460023042100001","2014-02-12","","03","폐업","03","폐업","2018-01-12","","","","053-781-1004","","","","대구광역시 수성구 용학로25길 6 (두산동)","42216","산후조리원 애플","2019-10-31 16:13:15","U","2019-11-02 02:40:00","","346722.247283095","259440.893694068","17","21","338","37.1","7.75","92.01","0","6.6","14.44","14.4","4","4","0","2","1","1","7","3","0",
"87","산후조리업","01_01_04_P","5130000","PHMB120065130030042100001","2006-12-13","","03","폐업","03","폐업","2022-11-15","","","","813-1100","","712-803","경상북도 경산시 중방동 849번지 1호","경상북도 경산시  경안로  217 (중방동)","38622","마미안여성병원산후조리원","2022-11-15 14:14:48","U","2022-11-17 02:40:00","","356823.011132376","259902.509787215","8","8","162.81","15.08","17.55","0","12.54","25.2","0","7.67","3","3","0","0","1","0","6","0","0",
"88","산후조리업","01_01_04_P","5130000","PHMB120135130030042100001","2013-04-30","","03","폐업","03","폐업","2014-01-16","2013-06-20","2014-06-19","","851-2242","","712-833","경상북도 경산시 진량읍 상림리 275번지 11호","경상북도 경산시 진량읍 상림1길 4","712-833","핑크로즈산후조리원","2014-01-16 15:05:54","I","2018-08-31 23:59:59","","365371.769677805","268426.58045226","5","5","54.5","25.44","13.05","24.6","12.3","3.5","3.5","12.3","2","2","","1","","1","3","3","",
"89","산후조리업","01_01_04_P","5060000","PHMB120145060023042100001","2014-07-09","","03","폐업","03","폐업","2018-12-31","","","","","","740-978","경상북도 김천시 신음동 462번지 14호 김천제일병원","경상북도 김천시 신음1길 12 (신음동, 김천제일병원)","39544","김천제일병원산후조리원","2018-12-31 16:05:47","U","2019-01-02 02:40:00","","300651.164224773","293349.754227261","14","14","209.02","41.02","10.98","15","7.5","","66.68","10.8","3","5","","1","1","","2","2","",
"90","산후조리업","01_01_04_P","4690000","PHMB120074690107042100001","2007-05-31","","03","폐업","03","폐업","2022-03-08","","","","063-532-5300","","580-807","전라북도 정읍시 연지동 338번지 13호","전라북도 정읍시 중앙로 20 (연지동)","","현대산후조리원","2022-03-08 21:40:15","U","2022-03-10 02:40:00","","185869.989692137","230482.719249127","3","3","41.4","9","0","13.5","0","0","0","0","1","2","0","2","1","0","4","4","0",
"91","산후조리업","01_01_04_P","3830000","PHMB120073830076042100001","2007-08-07","","03","폐업","03","폐업","2020-06-02","","","","031-449-9114","","","경기도 안양시 만안구 안양동 456번지 8호 5-6층","경기도 안양시 만안구 안양로 215, 5-6층 (안양동)","14030","샘산후조리원","2020-11-25 15:25:25","U","2020-11-27 02:40:00","","","","19","19","279.8","33.04","8.5","","","6.72","","","4","8","","","","1","56","56","",
